instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,log_holiday,sqrt_holiday,boxcox_holiday,log_casual,sqrt_casual,boxcox_casual
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,0.0,0.0,0.0,5.342334251964811,14.422205101855956,13.621602227266926
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,0.0,0.0,0.0,4.948759890378168,11.832159566199232,11.691854449869835
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,0.0,0.0,0.0,5.389071729816501,14.7648230602334,13.866737838269296
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,0.0,0.0,0.0,5.560681631015528,16.09347693943108,14.797791542377096
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,0.0,0.0,0.0,6.363028103540465,24.06241883103193,19.86975166555965
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,0.0,0.0,0.0,6.278521424165844,23.065125189341593,19.27443115632307
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,0.0,0.0,0.0,6.461468176353717,25.278449319529077,20.583107250106444
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,0.6931471805599453,1.0,0.019912573119965735,5.278114659230517,13.96424004376894,13.290493730954186
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,0.0,0.0,0.0,4.31748811353631,8.602325267042627,9.047158526080198
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,0.0,0.0,0.0,4.941642422609304,11.789826122551595,11.659070727974926
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,0.0,0.0,0.0,4.61512051684126,10.0,10.230004420007193
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,0.0,0.0,0.0,4.795790545596741,10.954451150103322,11.002892211710387
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,0.0,0.0,0.0,6.052089168924417,20.591260281974,17.7538131684391
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,0.0,0.0,0.0,6.543911845564792,26.343879744638983,21.197460309198654
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,0.0,0.0,0.0,4.406719247264253,9.0,9.390438193212951
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,0.0,0.0,0.0,4.927253685157205,11.704699910719626,11.593014568374727
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,0.0,0.0,0.0,5.44673737166631,15.198684153570664,14.174108473960825
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,0.0,0.0,0.0,4.820281565605037,11.090536506409418,11.111021091391681
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,0.0,0.0,0.0,5.3706380281276624,14.628738838327793,13.769631228683554
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,0.0,0.0,0.0,6.46302945692067,25.298221281347036,20.59459686024038
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,0.0,0.0,0.0,4.74493212836325,10.677078252031311,10.780946100479577
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,0.0,0.0,0.0,5.501258210544727,15.620499351813308,14.469794856504372
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,0.0,0.0,0.0,5.75890177387728,17.776388834631177,15.936469838036926
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,0.0,0.0,0.0,5.2574953720277815,13.820274961085254,13.185568474486999
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,0.0,0.0,0.0,3.8501476017100584,6.782329983125268,7.395957362317421
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,0.0,0.0,0.0,5.5134287461649825,15.716233645501712,14.536482671677302
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,0.0,0.0,0.0,6.586171654854675,26.90724809414742,21.51848855699725
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,0.0,0.0,0.0,6.890609120147166,31.336879231984796,23.95923751611256
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,0.0,0.0,0.0,5.886104031450156,18.947295321496416,16.704774940833506
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,0.0,0.0,0.0,5.66988092298052,17.0,15.416456278597867
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,0.0,0.0,0.0,5.7745515455444085,17.916472867168917,16.029374553627893
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,0.0,0.0,0.0,6.052089168924417,20.591260281974,17.7538131684391
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,0.0,0.0,0.0,6.785587645007929,29.732137494637012,23.091203618920108
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,0.0,0.0,0.0,7.261927092702751,37.73592452822641,27.264232235187496
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,0.0,0.0,0.0,6.954638864880987,32.357379374726875,24.502445770015406
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,0.0,0.0,0.0,5.996452088619021,20.024984394500787,17.39617399134001
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,0.0,0.0,0.0,6.133398042996649,21.447610589527216,18.287651195345482
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,0.0,0.0,0.0,5.318119993844216,14.247806848775006,13.495984500769772
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,0.0,0.0,0.0,5.117993812416755,12.884098726725126,12.492973592931959
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,0.0,0.0,0.0,5.707110264748875,17.320508075688775,15.632192678927826
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,0.0,0.0,0.0,6.889591308354466,31.32091952673165,23.95068916478994
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,0.0,0.0,0.0,6.159095388491933,21.72556098240043,18.45917574113696
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,0.0,0.0,0.0,5.407171771460119,14.89966442575134,13.962626232526546
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,0.0,0.0,0.0,5.762051382780177,17.804493814764857,15.955131383685853
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,0.0,0.0,0.0,5.1298987149230735,12.96148139681572,12.550921134542179
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0.0,0.0,0.0,5.19295685089021,13.379088160259652,12.861437551255358
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,0.0,0.0,0.0,5.730099782973574,17.52141546793523,15.766656434802613
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,0.0,0.0,0.0,6.80128303447162,29.966648127543394,23.219147966187478
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,0.0,0.0,0.0,7.409741954080923,40.63249930782009,28.689052229707066
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,0.0,0.0,0.0,6.5998704992128365,27.09243436828813,21.62345486956543
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,0.0,0.0,0.0,5.123963979403259,12.922847983320086,12.522006962049998
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,0.0,0.0,0.0,6.025865973825314,20.322401432901575,17.584482764192753
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,0.0,0.0,0.0,6.349138991379798,23.895606290697042,19.770837498142818
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,0.0,0.0,0.0,5.153291594497779,13.114877048604,12.665409385546102
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,0.0,0.0,0.0,6.779921907472252,29.647934160747187,23.045170284553446
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,0.0,0.0,0.0,7.080867896690782,34.46737587922817,25.605316485949324
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,0.0,0.0,0.0,6.752270376141742,29.24038303442689,22.8216577413261
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,0.0,0.0,0.0,5.552959584921617,16.0312195418814,14.75482744123667
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,0.0,0.0,0.0,5.3471075307174685,14.45683229480096,13.646475889422115
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,0.0,0.0,0.0,6.272877006546167,23.0,19.235219030138595
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,0.6931471805599453,1.0,0.019912573119965735,6.466144724237619,25.337718918639855,20.61753896813478
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,0.0,0.0,0.0,4.804021044733257,11.0,11.039138999033543
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,0.0,0.0,0.0,7.351799869057777,39.4715087119811,28.122771588836166
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,0.0,0.0,0.0,6.507277712385012,25.865034312755125,20.922538251898136
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,0.0,0.0,0.0,6.016157159698354,20.223748416156685,17.52213733744591
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,0.0,0.0,0.0,6.419994928147142,24.758836806279895,20.279921279925855
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,0.0,0.0,0.0,6.61472560020376,27.294688127912362,21.73778395785131
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,0.0,0.0,0.0,5.181783550292085,13.30413469565007,12.805975222568682
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,0.0,0.0,0.0,7.288244401020124,38.23610858861032,27.5131742565733
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,0.0,0.0,0.0,7.444833273892193,41.352146256270665,29.03696728540265
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,0.0,0.0,0.0,6.651571873589727,27.80287754891569,22.023637901827694
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,0.0,0.0,0.0,6.520621127558696,26.038433132583073,21.022314365965677
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,0.0,0.0,0.0,6.306275286948016,23.388031127053,19.468236581752013
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,0.0,0.0,0.0,6.345636360828596,23.853720883753127,19.745959719491136
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,0.0,0.0,0.0,6.778784897685177,29.631064780058107,23.035941938270316
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,0.0,0.0,0.0,7.583756300707112,44.328320518603,30.451945640037216
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,0.0,0.0,0.0,7.037905963447182,33.734255586866,25.22511882952753
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,0.0,0.0,0.0,6.742880635791903,29.103264421710495,22.746191828013643
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,0.0,0.0,0.0,6.403574197934815,24.55605831561735,20.16094834917417
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,0.0,0.0,0.0,5.545177444479562,15.968719422671311,14.711632531916809
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,0.0,0.0,0.0,6.421622267806518,24.779023386727733,20.291744721119183
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,0.0,0.0,0.0,6.796823718274855,29.899832775452108,23.18273379178553
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,0.0,0.0,0.0,7.385851078125209,40.149719799769464,28.454333029630018
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,0.0,0.0,0.0,7.2456550675945355,37.429934544425805,27.111320359567042
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,0.0,0.0,0.0,6.499787040655854,25.768197453450252,20.866706297077357
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,0.0,0.0,0.0,6.543911845564792,26.343879744638983,21.197460309198654
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,0.0,0.0,0.0,6.311734809152915,23.45207879911715,19.506556398030845
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,0.0,0.0,0.0,6.54534966033442,26.362852652928137,21.208314006719622
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,0.0,0.0,0.0,6.541029999189903,26.30589287593181,21.175720491506944
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,0.0,0.0,0.0,6.805722553416985,30.033314835362415,23.255450333204646
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,0.0,0.0,0.0,7.367077059881012,39.774363602702685,28.271096550186506
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,0.0,0.0,0.0,6.651571873589727,27.80287754891569,22.023637901827694
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,0.0,0.0,0.0,6.520621127558696,26.038433132583073,21.022314365965677
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,0.0,0.0,0.0,6.285998094508865,23.15167380558045,19.32647741739308
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,0.0,0.0,0.0,6.601230118728877,27.110883423451916,21.63389709402773
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,0.0,0.0,0.0,6.813444599510896,30.14962686336267,23.31871294879418
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,0.0,0.0,0.0,7.7226775164680035,47.51841748206689,31.928939467053176
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,0.0,0.0,0.0,7.3632795869630385,39.698866482558415,28.234161816388283
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,0.0,0.0,0.0,6.729824070489475,28.91366458960192,22.641618506967074
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,0.0,0.0,0.0,6.492239835020471,25.67099530598687,20.810583450777514
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,0.0,0.0,0.0,6.608000625296087,27.202941017470888,21.68596164750439
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,0.0,0.0,0.0,6.63200177739563,27.53179979587241,21.871407785025358
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,0.0,0.0,0.0,6.77078942390898,29.512709126747414,22.971139478583257
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,0.0,0.0,0.0,7.601901959875166,44.73253849269008,30.641288919380223
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,0.0,0.0,0.0,7.764720544771477,48.52834223420371,32.38857204144993
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,0.6931471805599453,1.0,0.019912573119965735,7.346010209913293,39.35733730830886,28.066742898181456
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,0.0,0.0,0.0,6.513230110912307,25.942243542145693,20.96699683707879
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,0.0,0.0,0.0,6.2422232654551655,22.64950330581225,19.023455168431664
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,0.0,0.0,0.0,6.602587892189336,27.129319932501073,21.64432951734356
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,0.0,0.0,0.0,6.80128303447162,29.966648127543394,23.219147966187478
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,0.0,0.0,0.0,7.533693709848633,43.23193264243457,29.935030071682295
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,0.0,0.0,0.0,7.430114138561801,41.048751503547585,28.890574257029357
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,0.0,0.0,0.0,6.513230110912307,25.942243542145693,20.96699683707879
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,0.0,0.0,0.0,6.638567789166521,27.622454633866266,21.922380354724186
